,date,balance
0,12/18/2002,719542
1,12/25/2002,732059
2,1/1/2003,730994
3,1/8/2003,723762
4,1/15/2003,720074
5,1/22/2003,735953
6,1/29/2003,712809
7,2/5/2003,719643
8,2/12/2003,713281
9,2/19/2003,730400
10,2/26/2003,721980
11,3/5/2003,722649
12,3/12/2003,717014
13,3/19/2003,729923
14,3/26/2003,725019
15,4/2/2003,732452
16,4/9/2003,727826
17,4/16/2003,745838
18,4/23/2003,732222
19,4/30/2003,746294
20,5/7/2003,733466
21,5/14/2003,740371
22,5/21/2003,734699
23,5/28/2003,744896
24,6/4/2003,731667
25,6/11/2003,743236
26,6/18/2003,735926
27,6/25/2003,744018
28,7/2/2003,740126
29,7/9/2003,744430
30,7/16/2003,737765
31,7/23/2003,745665
32,7/30/2003,740295
33,8/6/2003,734018
34,8/13/2003,735386
35,8/20/2003,750825
36,8/27/2003,740637
37,9/3/2003,750461
38,9/10/2003,737234
39,9/17/2003,743939
40,9/24/2003,741193
41,10/1/2003,753155
42,10/8/2003,737108
43,10/15/2003,754229
44,10/22/2003,743578
45,10/29/2003,747272
46,11/5/2003,744116
47,11/12/2003,745604
48,11/19/2003,744521
49,11/26/2003,756964
50,12/3/2003,749981
51,12/10/2003,756585
52,12/17/2003,753919
53,12/24/2003,767012
54,12/31/2003,771551
55,1/7/2004,755829
56,1/14/2004,752812
57,1/21/2004,775833
58,1/28/2004,755279
59,2/4/2004,754153
60,2/11/2004,750999
61,2/18/2004,758759
62,2/25/2004,750666
63,3/3/2004,754867
64,3/10/2004,749950
65,3/17/2004,760638
66,3/24/2004,751510
67,3/31/2004,760725
68,4/7/2004,754083
69,4/14/2004,763734
70,4/21/2004,757984
71,4/28/2004,772927
72,5/5/2004,758838
73,5/12/2004,764835
74,5/19/2004,756874
75,5/26/2004,771108
76,6/2/2004,764090
77,6/9/2004,772187
78,6/16/2004,761834
79,6/23/2004,775261
80,6/30/2004,779578
81,7/7/2004,778163
82,7/14/2004,775536
83,7/21/2004,776764
84,7/28/2004,773916
85,8/4/2004,772085
86,8/11/2004,769265
87,8/18/2004,767595
88,8/25/2004,775437
89,9/1/2004,785273
90,9/8/2004,788602
91,9/15/2004,789128
92,9/22/2004,782124
93,9/29/2004,786330
94,10/6/2004,781777
95,10/13/2004,795483
96,10/20/2004,784954
97,10/27/2004,791336
98,11/3/2004,790552
99,11/10/2004,800473
100,11/17/2004,794090
101,11/24/2004,809956
102,12/1/2004,807063
103,12/8/2004,808495
104,12/15/2004,807028
105,12/22/2004,811333
106,12/29/2004,810944
107,1/5/2005,815702
108,1/12/2005,798455
109,1/19/2005,806960
110,1/26/2005,807262
111,2/2/2005,804746
112,2/9/2005,797299
113,2/16/2005,795606
114,2/23/2005,804576
115,3/2/2005,801252
116,3/9/2005,799250
117,3/16/2005,807211
118,3/23/2005,797094
119,3/30/2005,807551
120,4/6/2005,797327
121,4/13/2005,805707
122,4/20/2005,801793
123,4/27/2005,809797
124,5/4/2005,802412
125,5/11/2005,808378
